Code,Country,State,"Zip/Post Code",Rate,"Zip/Post is Range","Range From","Range To",default
IN-AN-*-IGST-5,IN,AN,*,5,,,,IGST
IN-AN-*-IGST-12,IN,AN,*,12,,,,IGST
IN-AN-*-IGST-18,IN,AN,*,18,,,,IGST
IN-AN-*-IGST-28,IN,AN,*,28,,,,IGST
IN-AP-*-IGST-5,IN,AP,*,5,,,,IGST
IN-AP-*-IGST-12,IN,AP,*,12,,,,IGST
IN-AP-*-IGST-18,IN,AP,*,18,,,,IGST
IN-AP-*-IGST-28,IN,AP,*,28,,,,IGST
IN-AR-*-IGST-5,IN,AR,*,5,,,,IGST
IN-AR-*-IGST-12,IN,AR,*,12,,,,IGST
IN-AR-*-IGST-18,IN,AR,*,18,,,,IGST
IN-AR-*-IGST-28,IN,AR,*,28,,,,IGST
IN-AS-*-IGST-5,IN,AS,*,5,,,,IGST
IN-AS-*-IGST-12,IN,AS,*,12,,,,IGST
IN-AS-*-IGST-18,IN,AS,*,18,,,,IGST
IN-AS-*-IGST-28,IN,AS,*,28,,,,IGST
IN-BR-*-IGST-5,IN,BR,*,5,,,,IGST
IN-BR-*-IGST-12,IN,BR,*,12,,,,IGST
IN-BR-*-IGST-18,IN,BR,*,18,,,,IGST
IN-BR-*-IGST-28,IN,BR,*,28,,,,IGST
IN-CH-*-IGST-5,IN,CH,*,5,,,,IGST
IN-CH-*-IGST-12,IN,CH,*,12,,,,IGST
IN-CH-*-IGST-18,IN,CH,*,18,,,,IGST
IN-CH-*-IGST-28,IN,CH,*,28,,,,IGST
IN-CT-*-IGST-5,IN,CT,*,5,,,,IGST
IN-CT-*-IGST-12,IN,CT,*,12,,,,IGST
IN-CT-*-IGST-18,IN,CT,*,18,,,,IGST
IN-CT-*-IGST-28,IN,CT,*,28,,,,IGST
IN-DN-*-IGST-5,IN,DN,*,5,,,,IGST
IN-DN-*-IGST-12,IN,DN,*,12,,,,IGST
IN-DN-*-IGST-18,IN,DN,*,18,,,,IGST
IN-DN-*-IGST-28,IN,DN,*,28,,,,IGST
IN-DD-*-IGST-5,IN,DD,*,5,,,,IGST
IN-DD-*-IGST-12,IN,DD,*,12,,,,IGST
IN-DD-*-IGST-18,IN,DD,*,18,,,,IGST
IN-DD-*-IGST-28,IN,DD,*,28,,,,IGST
IN-DL-*-IGST-5,IN,DL,*,5,,,,IGST
IN-DL-*-IGST-12,IN,DL,*,12,,,,IGST
IN-DL-*-IGST-18,IN,DL,*,18,,,,IGST
IN-DL-*-IGST-28,IN,DL,*,28,,,,IGST
IN-GA-*-IGST-5,IN,GA,*,5,,,,IGST
IN-GA-*-IGST-12,IN,GA,*,12,,,,IGST
IN-GA-*-IGST-18,IN,GA,*,18,,,,IGST
IN-GA-*-IGST-28,IN,GA,*,28,,,,IGST
IN-GJ-*-IGST-5,IN,GJ,*,5,,,,IGST
IN-GJ-*-IGST-12,IN,GJ,*,12,,,,IGST
